"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"79","  ","  ","r_Plot[DG,Intercept]",-0.067,0.064,-0.204,0.05
"80","  ","  ","r_Plot[ECN,Intercept]",0.069,0.052,-0.029,0.176
"81","  ","  ","r_Plot[ECS,Intercept]",-0.024,0.051,-0.126,0.076
"82","  ","  ","r_Plot[ECW,Intercept]",0.027,0.053,-0.08,0.134
"83","  ","  ","r_Plot[FO,Intercept]",0.098,0.058,-0.01,0.219
"84","  ","  ","r_Plot[FP,Intercept]",-0.099,0.058,-0.221,0.005
"85","7","Active Layer & thermal sum vs Decomposition Rate","b_Intercept",-3.016,2.015,-6.896,0.975
"86","  ","  ","b_ALT_scaled",4.112,2.124,-0.028,8.21
"87","  ","  ","b_therm_scaled",4.046,2.03,0.037,7.953
"88","  ","  ","b_ALT_scaled:therm_scaled",-4.171,2.11,-8.247,-0.049
"89","  ","  ","sd_Plot__Intercept",0.082,0.056,0.005,0.218
"90","  ","  ","sigma",0.305,0.019,0.269,0.346
"91","  ","  ","r_Plot[CHHE,Intercept]",0.001,0.075,-0.161,0.158
"92","  ","  ","r_Plot[CHKO,Intercept]",-0.018,0.068,-0.174,0.113
"93","  ","  ","r_Plot[DG,Intercept]",-0.009,0.069,-0.158,0.133
"94","  ","  ","r_Plot[ECN,Intercept]",0.045,0.064,-0.062,0.193
"95","  ","  ","r_Plot[ECS,Intercept]",-0.049,0.065,-0.2,0.056
"96","  ","  ","r_Plot[ECW,Intercept]",0.049,0.067,-0.059,0.202
"97","  ","  ","r_Plot[FO,Intercept]",0.041,0.069,-0.074,0.201
"98","  ","  ","r_Plot[FP,Intercept]",-0.058,0.071,-0.224,0.053
"99","8","Active Layer & thermal sum vs Stabilisation Factor","b_Intercept",0.638,0.704,-0.701,2.055
"100","  ","  ","b_ALT_scaled",0.462,0.682,-0.882,1.805
"101","  ","  ","b_therm_scaled",0.412,0.709,-1.02,1.768
"102","  ","  ","b_ALT_scaled:therm_scaled",-0.52,0.678,-1.86,0.811
"103","  ","  ","sd_Plot__Intercept",0.044,0.026,0.008,0.107
"104","  ","  ","sigma",0.096,0.006,0.085,0.109
"105","  ","  ","r_Plot[CHHE,Intercept]",0.002,0.035,-0.077,0.066
"106","  ","  ","r_Plot[CHKO,Intercept]",-0.019,0.032,-0.094,0.035
"107","  ","  ","r_Plot[DG,Intercept]",0.049,0.038,-0.009,0.135
"108","  ","  ","r_Plot[ECN,Intercept]",-0.025,0.027,-0.082,0.023
"109","  ","  ","r_Plot[ECS,Intercept]",-0.011,0.026,-0.064,0.039
"110","  ","  ","r_Plot[ECW,Intercept]",0.006,0.027,-0.046,0.063
"111","  ","  ","r_Plot[FO,Intercept]",-0.033,0.029,-0.094,0.018
"112","  ","  ","r_Plot[FP,Intercept]",0.03,0.031,-0.021,0.1
