"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"82","  ","  ","sd_Plot__Intercept",0.088,0.058,0.007,0.228
"83","  ","  ","sigma",0.308,0.02,0.273,0.349
"84","  ","  ","r_Plot[CHHE,Intercept]",-0.023,0.08,-0.203,0.125
"85","  ","  ","r_Plot[CHKO,Intercept]",-0.012,0.072,-0.172,0.128
"86","  ","  ","r_Plot[DG,Intercept]",-0.021,0.073,-0.176,0.124
"87","  ","  ","r_Plot[ECN,Intercept]",0.056,0.068,-0.055,0.214
"88","  ","  ","r_Plot[ECS,Intercept]",-0.04,0.065,-0.187,0.073
"89","  ","  ","r_Plot[ECW,Intercept]",0.064,0.072,-0.048,0.228
"90","  ","  ","r_Plot[FO,Intercept]",0.039,0.073,-0.086,0.204
"91","  ","  ","r_Plot[FP,Intercept]",-0.059,0.073,-0.225,0.059
"92","8","Active Layer & thermal sum vs Stabilisation Factor","b_Intercept",1.113,0.513,0.378,2.356
"93","  ","  ","b_ALT_scaled",-0.06,0.029,-0.115,-0.004
"94","  ","  ","b_therm_scaled",-0.066,0.524,-1.322,0.692
"95","  ","  ","sd_Plot__Intercept",0.043,0.026,0.008,0.113
"96","  ","  ","sigma",0.096,0.006,0.086,0.109
"97","  ","  ","r_Plot[CHHE,Intercept]",-0.004,0.04,-0.115,0.06
"98","  ","  ","r_Plot[CHKO,Intercept]",-0.018,0.034,-0.109,0.036
"99","  ","  ","r_Plot[DG,Intercept]",0.047,0.04,-0.009,0.156
"100","  ","  ","r_Plot[ECN,Intercept]",-0.022,0.026,-0.077,0.026
"101","  ","  ","r_Plot[ECS,Intercept]",-0.008,0.024,-0.056,0.04
"102","  ","  ","r_Plot[ECW,Intercept]",0.01,0.028,-0.04,0.078
"103","  ","  ","r_Plot[FO,Intercept]",-0.032,0.028,-0.091,0.019
"104","  ","  ","r_Plot[FP,Intercept]",0.032,0.031,-0.017,0.106
"105","9","Topography vs Green Tea Mass Loss","b_Intercept",1.007,0.051,0.905,1.104
"106","  ","  ","b_elevation_scaled",-0.003,0.036,-0.079,0.062
"107","  ","  ","b_slope_scaled",-0.018,0.025,-0.066,0.03
"108","  ","  ","b_aspect_classNorth",0.121,0.052,0.021,0.224
"109","  ","  ","b_aspect_classSouth",-0.022,0.036,-0.091,0.053
"110","  ","  ","b_aspect_classWest",-0.004,0.038,-0.075,0.073
"111","  ","  ","sd_Plot__Intercept",0.033,0.025,0.002,0.096
"112","  ","  ","sigma",0.122,0.008,0.109,0.138
"113","  ","  ","r_Plot[CHHE,Intercept]",-0.009,0.03,-0.074,0.051
"114","  ","  ","r_Plot[CHKO,Intercept]",0.009,0.03,-0.046,0.077
"115","  ","  ","r_Plot[DG,Intercept]",-0.029,0.037,-0.121,0.019
"116","  ","  ","r_Plot[ECN,Intercept]",0.014,0.025,-0.029,0.071
"117","  ","  ","r_Plot[ECS,Intercept]",0.003,0.028,-0.052,0.067
"118","  ","  ","r_Plot[ECW,Intercept]",0.004,0.025,-0.049,0.058
"119","  ","  ","r_Plot[FO,Intercept]",0.015,0.035,-0.044,0.095
"120","  ","  ","r_Plot[FP,Intercept]",-0.007,0.026,-0.067,0.043
"121","10","Topography vs Rooibos Tea Mass Loss","b_Intercept",1.074,0.11,0.85,1.291
"122","  ","  ","b_elevation_scaled",-0.083,0.093,-0.283,0.094
"123","  ","  ","b_slope_scaled",-0.017,0.046,-0.104,0.076
"124","  ","  ","b_aspect_classNorth",-0.028,0.08,-0.184,0.132
"125","  ","  ","b_aspect_classSouth",-0.035,0.064,-0.16,0.093
"126","  ","  ","b_aspect_classWest",-0.007,0.065,-0.136,0.121
"127","  ","  ","sd_Plot__Intercept",0.12,0.06,0.046,0.28
"128","  ","  ","sigma",0.183,0.012,0.162,0.208
"129","  ","  ","r_Plot[CHHE,Intercept]",-0.028,0.091,-0.2,0.16
"130","  ","  ","r_Plot[CHKO,Intercept]",0.045,0.086,-0.11,0.231
"131","  ","  ","r_Plot[DG,Intercept]",-0.113,0.092,-0.313,0.045
"132","  ","  ","r_Plot[ECN,Intercept]",0.081,0.065,-0.038,0.216
"133","  ","  ","r_Plot[ECS,Intercept]",-0.026,0.075,-0.176,0.125
"134","  ","  ","r_Plot[ECW,Intercept]",0.034,0.067,-0.104,0.163
"135","  ","  ","r_Plot[FO,Intercept]",0.089,0.095,-0.095,0.29
"136","  ","  ","r_Plot[FP,Intercept]",-0.079,0.071,-0.233,0.046
"137","11","Topography vs Decomposition Rate","b_Intercept",1.018,0.148,0.722,1.307
"138","  ","  ","b_elevation_scaled",-0.036,0.107,-0.24,0.185
"139","  ","  ","b_slope_scaled",0.018,0.069,-0.116,0.161
"140","  ","  ","b_aspect_classNorth",-0.135,0.133,-0.4,0.124
"141","  ","  ","b_aspect_classSouth",-0.047,0.1,-0.247,0.145
"142","  ","  ","b_aspect_classWest",-0.091,0.104,-0.302,0.11
"143","  ","  ","sd_Plot__Intercept",0.125,0.072,0.021,0.305
"144","  ","  ","sigma",0.307,0.02,0.271,0.348
"145","  ","  ","r_Plot[CHHE,Intercept]",-0.016,0.1,-0.224,0.19
"146","  ","  ","r_Plot[CHKO,Intercept]",0.013,0.097,-0.179,0.217
"147","  ","  ","r_Plot[DG,Intercept]",-0.024,0.1,-0.23,0.189
"148","  ","  ","r_Plot[ECN,Intercept]",0.097,0.084,-0.042,0.28
"149","  ","  ","r_Plot[ECS,Intercept]",-0.084,0.102,-0.316,0.086
"150","  ","  ","r_Plot[ECW,Intercept]",0.068,0.084,-0.088,0.249
"151","  ","  ","r_Plot[FO,Intercept]",0.033,0.111,-0.184,0.273
"152","  ","  ","r_Plot[FP,Intercept]",-0.094,0.092,-0.297,0.064
"153","12","Topography vs Stabilisation Factor","b_Intercept",0.975,0.038,0.9,1.052
"154","  ","  ","b_elevation_scaled",0.005,0.03,-0.045,0.084
"155","  ","  ","b_slope_scaled",0.014,0.019,-0.024,0.052
"156","  ","  ","b_aspect_classNorth",-0.095,0.041,-0.174,-0.013
"157","  ","  ","b_aspect_classSouth",0.017,0.029,-0.042,0.072
"158","  ","  ","b_aspect_classWest",0.003,0.03,-0.058,0.06
"159","  ","  ","sd_Plot__Intercept",0.028,0.022,0.001,0.085
"160","  ","  ","sigma",0.096,0.006,0.085,0.108
"161","  ","  ","r_Plot[CHHE,Intercept]",0.005,0.027,-0.058,0.06
"162","  ","  ","r_Plot[CHKO,Intercept]",-0.009,0.027,-0.074,0.037
"163","  ","  ","r_Plot[DG,Intercept]",0.025,0.03,-0.014,0.1
"164","  ","  ","r_Plot[ECN,Intercept]",-0.013,0.022,-0.062,0.023
"165","  ","  ","r_Plot[ECS,Intercept]",-0.004,0.025,-0.067,0.042
"166","  ","  ","r_Plot[ECW,Intercept]",-0.003,0.02,-0.045,0.039
"167","  ","  ","r_Plot[FO,Intercept]",-0.011,0.026,-0.07,0.036
"168","  ","  ","r_Plot[FP,Intercept]",0.005,0.021,-0.035,0.056
