"Green","Rooibos","stab","ar","rate","Plot","Tea_ID","Angle","New distances","ALT","Soilmoist","Distance","Spiral","Vegetation","Soil","Hillshade","X","Y","ID...20","meantemp","mintemp","maxtemp","thermsum","elevation","slope","aspect"
34.3671441099094,12.6417191552427,0.591839143587775,0.225304792739548,0.0294096520111099,"CHHE","169",0,22.4,18.4,29,0.1,1,"Litter","Loose fibric",181,583140.0332,7720046.625,1,6.57863664627075,4.45897436141968,9.15305042266846,121.747428894043,73.0442428588867,1.12614381313324,209.258239746094
37.3546325878594,12.6569872958258,0.55635828280452,0.244890227891905,0.0259790800908742,"CHHE","170",0,20,21.4,35.6,2.5,2,"Moss","Loose fibric",167,583140.1823,7720046.658,2,6.58467769622803,4.46468067169189,9.17371654510498,121.747428894043,73.0442428588867,1.12614381313324,209.258239746094
37.7997565429093,13.5062545989698,0.55107177502483,0.247808380186294,0.0281257055902927,"CHHE","171",0,0,28.2,43.1,22.5,3,"Eriophorum tussock","Loose fibric",190,583140.3448,7720046.589,3,6.58467769622803,4.46468067169189,9.17371654510498,121.747428894043,73.0442428588867,1.12614381313324,209.258239746094
37.9804849201656,11.2380952380952,0.548925357242689,0.248993202802036,0.021438534786374,"CHHE","173",45,4.8,14.2,6.8,0.2,4,"Eriophorum tussock","Litter",192,583140.3725,7720046.262,4,6.58467769622803,4.46468067169189,9.17371654510498,121.747428894043,73.0442428588867,1.12614381313324,209.258239746094
39.036954087346,9.97060984570168,0.536378217489952,0.255919223945546,0.0176300214048168,"CHHE","174",45,0,14.9,13.6,5,5,"Willow shrub","Loose fibric",183,583140.1027,7720046.038,5,6.57863664627075,4.45897436141968,9.15305042266846,121.792861938477,73.0381240844727,0.874296307563782,211.810241699219
49.1437632135306,11.7690875232775,0.416344854946192,0.322177640069702,0.0162357077463194,"CHHE","175",90,25.3,31.4,36.1,0.3,6,"Forbs","Dense mesic",179,583139.6531,7720045.91,6,6.57863664627075,4.45897436141968,9.15305042266846,121.580688476562,73.0033264160156,1.1054208278656,229.406997680664
26.3680981595092,15,0.686839689316993,0.17286449149702,0.072247245854371,"CHHE","176",90,32.5,43.2,31.9,7.5,7,"Moss","Loose fibric",187,583139.1011,7720046.471,7,6.57351541519165,4.45473957061768,9.14044666290283,121.525184631348,73.0227661132812,1.25191140174866,217.647277832031
39.4156046005595,15.316927665921,0.53188118051592,0.258401588355212,0.0320837328654167,"CHHE","177",90,50,43,34.4,25,8,"Willow shrub","Loose fibric",184,583138.6319,7720047.464,8,6.58189105987549,4.45871353149414,9.14256572723389,121.391754150391,73.0251693725586,1.20066928863525,252.353485107422
32.874251497006,11.0653570079335,0.609569459655511,0.215517658270158,0.0257277761999174,"CHHE","178",135,9.6,22.4,33.5,0.4,9,"Willow shrub","Loose fibric",180,583139.7389,7720048.972,9,6.61709451675415,4.48258924484253,9.2177734375,121.803581237793,73.0549697875977,0.944457173347473,259.119232177734
36.3160936145623,9.91537895511405,0.568692474886434,0.238081753862688,0.019237805781379,"CHHE","179",135,0,33,25.2,10,10,"Willow shrub","Moss",183,583142.9206,7720050.467,10,6.61741065979004,4.46140241622925,9.24117279052734,121.681869506836,73.1190795898438,1.60576951503754,225.758316040039
38.8621794871795,9.35706084959816,0.53845392533041,0.254773433217614,0.0163468321435346,"CHHE","181",180,23,17.8,23.6,0.5,11,"Grasses","Dense mesic",174,583147.3282,7720048.198,11,6.53516435623169,4.45375633239746,9.15626430511475,122.063545227051,73.1424789428711,1.10494220256805,148.655197143555
29.4704353476283,11.4080353851824,0.649994829600614,0.193202854060461,0.0318836931147688,"CHHE","182",180,35,14.7,12.3,12.5,12,"Moss","Moss",197,583147.881,7720040.511,12,6.60342836380005,4.49841213226318,9.16739177703857,122.368370056152,72.9312438964844,1.83799624443054,237.275115966797
40.7307813982917,13.0887885628292,0.516261503583234,0.267023650022055,0.024060163426417,"CHHE","183",180,50,38.5,35.4,27.5,13,"Litter","Litter",176,583140.9773,7720034.096,13,6.59291505813599,4.46052169799805,9.19785022735596,121.699264526367,72.6870574951172,1.98711729049683,193.340835571289
38.5639075753144,15.0749542961609,0.541996347086527,0.252818016408237,0.0323937868147507,"CHHE","184",225,5.75,45.5,36.6,0.75,14,"Bare soil","Mineral",165,583131.8708,7720034.068,14,6.68999099731445,4.64601039886475,9.36458683013916,126.301620483398,72.6758728027344,2.39695310592651,137.828384399414
36.768992248062,13.0400890868597,0.563313631258171,0.24105087554549,0.0278084316087828,"CHHE","185",225,20,38,23.5,15,15,"Moss","Very dense humic",181,583122.7368,7720045.3,15,6.66407346725464,4.48210000991821,9.27535820007324,122.078964233398,72.9927215576172,3.12560653686523,189.959625244141
32.7278731836196,13.7879939209727,0.611307919434447,0.214558028472185,0.0367487225447334,"CHHE","186",270,24,19.5,40.6,1,16,"Eriophorum tussock","Litter",153,583123.6418,7720057.828,16,6.58169889450073,4.55235052108765,9.11987495422363,121.950988769531,73.2962875366211,1.76385760307312,179.694702148438
27.917598211434,11.6537753222836,0.668437075873705,0.183022734117715,0.0361655108688638,"CHHE","188",270,7.5,33.2,29.4,17.5,17,"Moss","Litter",NA,583137.4486,7720068.805,17,NA,NA,NA,122.782646179199,73.5373001098633,4.49483442306519,174.946197509766
35.3716012084592,11.8007117437722,0.579909724365092,0.231889832150469,0.0253961891776821,"CHHE","189",270,0,18.5,36.5,30,18,"Dryas","Loose fibric",NA,583164.1935,7720052.51,18,NA,NA,NA,NA,73.1766052246094,1.38661098480225,131.648162841797
