Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss
139G,Green,QHI,,ECW,,,,3.2656,,,,Summer,1.9937,Yes,3.266,1.9937,0.39
140R,Rooibos,QHI,,ECW,,,,2.7352,,,,Summer,2.3088,Yes,2.735,2.3088,0.16
140G,Green,QHI,,ECW,,,,3.2831,,,,Summer,2.1063,Yes,3.283,2.1063,0.36
141R,Rooibos,QHI,,ECW,,,,2.7509,,,,Summer,2.4067,Yes,2.751,2.4067,0.13
141G,Green,QHI,,ECW,,,,4.6584,,,,Summer,2.9417,Yes,4.658,2.9417,0.37
142R,Rooibos,QHI,,ECW,,,,2.7488,,,,Summer,2.3092,Yes,2.749,2.3092,0.16
142G,Green,QHI,,ECW,,,,3.5362,,,,Summer,2.2388,Yes,3.536,2.2388,0.37
143R,Rooibos,QHI,,ECW,,,,2.7266,,,,Summer,2.3635,Yes,2.727,2.3635,0.13
143G,Green,QHI,,ECW,,,,3.0539,,,,Summer,1.9528,Yes,3.054,1.9528,0.36
144R,Rooibos,QHI,,ECW,,,,2.7859,,,,Summer,2.3733,Yes,2.786,2.3733,0.15
144G,Green,QHI,,ECW,,,,3.4703,,,,Summer,2.2657,Yes,3.470,2.2657,0.35
145R,Rooibos,QHI,,CHKO,,,,2.7131,,,,Summer,2.3296,Yes,2.713,2.3296,0.14
145G,Green,QHI,,CHKO,,,,3.5866,,,,Summer,N/A,Yes,3.587,#VALUE!,#VALUE!
146R,Rooibos,QHI,,CHKO,,,,2.7064,,,,Summer,2.3297,Yes,2.706,2.3297,0.14
146G,Green,QHI,,CHKO,,,,3.4715,,,,Summer,2.1482,Yes,3.472,2.1482,0.38
147R,Rooibos,QHI,,CHKO,,,,2.6265,,,,Summer,2.2482,Yes,2.627,2.2482,0.14
147G,Green,QHI,,CHKO,,,,3.1055,,,,Summer,1.9119,Yes,3.106,1.9119,0.38
148R,Rooibos,QHI,,CHKO,,,,2.9648,,,,Summer,2.5152,Yes,2.965,2.5152,0.15
148G,Green,QHI,,CHKO,,,,3.827,,,,Summer,2.4303,Yes,3.827,2.4303,0.36
149R,Rooibos,QHI,,CHKO,,,,2.6501,,,,Summer,2.2728,Yes,2.650,2.2728,0.14
149G,Green,QHI,,CHKO,,,,3.6751,,,,Summer,2.3921,Yes,3.675,2.3921,0.35
150R,Rooibos,QHI,,CHKO,,,,2.5872,,,,Summer,N/A,Yes,2.587,#VALUE!,#VALUE!
150G,Green,QHI,,CHKO,,,,3.0433,,,,Summer,2.0633,Yes,3.043,2.0633,0.32
151R,Rooibos,QHI,,CHKO,,,,2.7178,,,,Summer,2.3752,Yes,2.718,2.3752,0.13
151G,Green,QHI,,CHKO,,,,3.2055,,,,Summer,2.0753,Yes,3.206,2.0753,0.35
152R,Rooibos,QHI,,CHKO,,,,2.678,,,,Summer,2.3405,Yes,2.678,2.3405,0.13
152G,Green,QHI,,CHKO,,,,4.3516,,,,Summer,2.7463,Yes,4.352,2.7463,0.37
153R,Rooibos,QHI,,CHKO,,,,2.7279,,,,Summer,2.341,Yes,2.728,2.341,0.14
153G,Green,QHI,,CHKO,,,,3.5076,,,,Summer,2.2331,Yes,3.508,2.2331,0.36
154R,Rooibos,QHI,,CHKO,,,,2.6713,,,,Summer,2.2755,Yes,2.671,2.2755,0.15
154G,Green,QHI,,CHKO,,,,3.4026,,,,Summer,2.0892,Yes,3.403,2.0892,0.39
155R,Rooibos,QHI,,CHKO,,,,2.7303,,,,Summer,2.3441,Yes,2.730,2.3441,0.14
155G,Green,QHI,,CHKO,,,,3.5944,,,,Summer,2.2106,Yes,3.594,2.2106,0.38
156R,Rooibos,QHI,,CHKO,,,,2.6172,,,,Summer,N/A,Yes,2.617,#VALUE!,#VALUE!
156G,Green,QHI,,CHKO,,,,3.1872,,,,Summer,2.0822,Yes,3.187,2.0822,0.35
157R,Rooibos,QHI,,CHKO,,,,2.9289,,,,Summer,2.562,Yes,2.929,2.562,0.13
157G,Green,QHI,,CHKO,,,,3.2419,,,,Summer,1.9015,Yes,3.242,1.9015,0.41
158R,Rooibos,QHI,,CHKO,,,,2.6292,,,,Summer,2.2313,Yes,2.629,2.2313,0.15
158G,Green,QHI,,CHKO,,,,4.0381,,,,Summer,2.6874,Yes,4.038,2.6874,0.33
159R,Rooibos,QHI,,CHKO,,,,2.5935,,,,Summer,2.2827,Yes,2.594,2.2827,0.12
159G,Green,QHI,,CHKO,,,,3.0541,,,,Summer,1.9314,Yes,3.054,1.9314,0.37
160R,Rooibos,QHI,,CHKO,,,,2.7199,,,,Summer,2.3732,Yes,2.720,2.3732,0.13
160G,Green,QHI,,CHKO,,,,3.7268,,,,Summer,2.2871,Yes,3.727,2.2871,0.39
161R,Rooibos,QHI,,CHKO,,,,2.6854,,,,Summer,2.3271,Yes,2.685,2.3271,0.13
161G,Green,QHI,,CHKO,,,,3.2108,,,,Summer,N/A,Yes,3.211,#VALUE!,#VALUE!
162R,Rooibos,QHI,,CHKO,,,,2.6345,,,,Summer,2.202,Yes,2.635,2.202,0.16
162G,Green,QHI,,CHKO,,,,3.152,,,,Summer,1.8952,Yes,3.152,1.8952,0.40
163R,Rooibos,QHI,,CHKO,,,,2.7651,,,,Summer,2.3866,Yes,2.765,2.3866,0.14
163G,Green,QHI,,CHKO,,,,3.1274,,,,Summer,1.9438,Yes,3.127,1.9438,0.38
164R,Rooibos,QHI,,CHKO,,,,2.6798,,,,Summer,2.1969,Yes,2.680,2.1969,0.18
164G,Green,QHI,,CHKO,,,,3.2971,,,,Summer,1.9295,Yes,3.297,1.9295,0.41
165R,Rooibos,QHI,,CHKO,,,,2.7969,,,,Summer,2.4359,Yes,2.797,2.4359,0.13
165G,Green,QHI,,CHKO,,,,3.5972,,,,Summer,2.1828,Yes,3.597,2.1828,0.39
166R,Rooibos,QHI,,CHKO,,,,2.6549,,,,Summer,2.305,Yes,2.655,2.305,0.13
166G,Green,QHI,,CHKO,,,,3.3232,,,,Summer,2.1078,Yes,3.323,2.1078,0.37
167R,Rooibos,QHI,,CHKO,,,,2.6594,,,,Summer,2.3005,Yes,2.659,2.3005,0.13
167G,Green,QHI,,CHKO,,,,3.374,,,,Summer,2.1068,Yes,3.374,2.1068,0.38
168R,Rooibos,QHI,,CHKO,,,,2.6803,,,,Summer,2.2921,Yes,2.680,2.2921,0.14
168G,Green,QHI,,CHKO,,,,3.6535,,,,Summer,2.1872,Yes,3.654,2.1872,0.40
169R,Rooibos,QHI,,CHHE,,,,2.6985,,,,Summer,2.3578,Yes,2.699,2.3578,0.13
169G,Green,QHI,,CHHE,,,,3.421,,,,Summer,2.2453,Yes,3.421,2.2453,0.34
170R,Rooibos,QHI,,CHHE,,,,2.7546,,,,Summer,2.4063,Yes,2.755,2.4063,0.13
170G,Green,QHI,,CHHE,,,,3.1297,,,,Summer,1.9608,Yes,3.130,1.9608,0.37
171R,Rooibos,QHI,,CHHE,,,,2.7184,,,,Summer,2.3509,Yes,2.718,2.3509,0.14
171G,Green,QHI,,CHHE,,,,3.2863,,,,Summer,2.0439,Yes,3.286,2.0439,0.38
172R,Rooibos,QHI,,CHHE,,,,2.7588,,,,Summer,2.4662,Yes,2.759,2.4662,0.11
172G,Green,QHI,,CHHE,,,,3.2072,,,,Summer,2.0744,Yes,3.207,2.0744,0.35
173R,Rooibos,QHI,,CHHE,,,,2.6253,,,,Summer,2.33,Yes,2.625,2.33,0.11
173G,Green,QHI,,CHHE,,,,3.3824,,,,Summer,2.0975,Yes,3.382,2.0975,0.38
174R,Rooibos,QHI,,CHHE,,,,2.7215,,,,Summer,2.4506,Yes,2.722,2.4506,0.10
174G,Green,QHI,,CHHE,,,,3.5716,,,,Summer,2.1776,Yes,3.572,2.1776,0.39
175R,Rooibos,QHI,,CHHE,,,,2.6854,,,,Summer,2.369,Yes,2.685,2.369,0.12
175G,Green,QHI,,CHHE,,,,3.7835,,,,Summer,1.9244,Yes,3.784,1.9244,0.49
176R,Rooibos,QHI,,CHHE,,,,2.6442,,,,Summer,2.2474,Yes,2.644,2.2474,0.15
176G,Green,QHI,,CHHE,,,,3.2602,,,,Summer,2.4004,Yes,3.260,2.4004,0.26
177R,Rooibos,QHI,,CHHE,,,,2.6822,,,,Summer,2.2712,Yes,2.682,2.2712,0.15
177G,Green,QHI,,CHHE,,,,3.2171,,,,Summer,1.949,Yes,3.217,1.949,0.39
178R,Rooibos,QHI,,CHHE,,,,2.6471,,,,Summer,2.3541,Yes,2.647,2.3541,0.11
178G,Green,QHI,,CHHE,,,,3.5067,,,,Summer,2.3541,Yes,3.507,2.3541,0.33
179R,Rooibos,QHI,,CHHE,,,,2.7183,,,,Summer,2.4485,Yes,2.718,2.4485,0.10
179G,Green,QHI,,CHHE,,,,3.4608,,,,Summer,2.2041,Yes,3.461,2.2041,0.36
180R,Rooibos,QHI,,CHHE,,,,2.6633,,,,Summer,2.3182,Yes,2.663,2.3182,0.13
180G,Green,QHI,,CHHE,,,,3.4407,,,,Summer,N/A,Yes,3.441,#VALUE!,#VALUE!
181R,Rooibos,QHI,,CHHE,,,,2.613,,,,Summer,2.3685,Yes,2.613,2.3685,0.09
181G,Green,QHI,,CHHE,,,,3.1197,,,,Summer,1.9075,Yes,3.120,1.9075,0.39
182R,Rooibos,QHI,,CHHE,,,,2.713,,,,Summer,2.4035,Yes,2.713,2.4035,0.11
182G,Green,QHI,,CHHE,,,,3.0778,,,,Summer,2.1709,Yes,3.078,2.1709,0.29
183R,Rooibos,QHI,,CHHE,,,,2.6584,,,,Summer,2.3101,Yes,2.658,2.3101,0.13
183G,Green,QHI,,CHHE,,,,3.1614,,,,Summer,1.8735,Yes,3.161,1.8735,0.41
184R,Rooibos,QHI,,CHHE,,,,2.7351,,,,Summer,2.3227,Yes,2.735,2.3227,0.15
184G,Green,QHI,,CHHE,,,,3.4187,,,,Summer,2.1005,Yes,3.419,2.1005,0.39
185R,Rooibos,QHI,,CHHE,,,,2.6937,,,,Summer,2.3427,Yes,2.694,2.3427,0.13
185G,Green,QHI,,CHHE,,,,3.2246,,,,Summer,2.0392,Yes,3.225,2.0392,0.37
186R,Rooibos,QHI,,CHHE,,,,2.6315,,,,Summer,2.2691,Yes,2.632,2.2691,0.14
186G,Green,QHI,,CHHE,,,,3.0276,,,,Summer,2.037,Yes,3.028,2.037,0.33
187R,Rooibos,QHI,,CHHE,,,,2.7059,,,,Summer,2.2928,Yes,2.706,2.2928,0.15
187G,Green,QHI,,CHHE,,,,3.1492,,,,Summer,2.0871,Yes,3.149,2.0871,0.34
188R,Rooibos,QHI,,CHHE,,,,2.7146,,,,Summer,2.3986,Yes,2.715,2.3986,0.12
188G,Green,QHI,,CHHE,,,,3.1308,,,,Summer,2.2569,Yes,3.131,2.2569,0.28
189R,Rooibos,QHI,,CHHE,,,,2.8096,,,,Summer,2.4784,Yes,2.810,2.4784,0.12
189G,Green,QHI,,CHHE,,,,3.3098,,,,Summer,2.1392,Yes,3.310,2.1392,0.35
190R,Rooibos,QHI,,CHHE,,,,2.7072,,,,Summer,2.2979,Yes,2.707,2.2979,0.15
190G,Green,QHI,,CHHE,,,,3.2229,,,,Summer,1.9627,Yes,3.223,1.9627,0.39
191R,Rooibos,QHI,,CHHE,,,,2.7653,,,,Summer,2.3585,Yes,2.765,2.3585,0.15
191G,Green,QHI,,CHHE,,,,3.3988,,,,Summer,2.0968,Yes,3.399,2.0968,0.38
192R,Rooibos,QHI,,CHHE,,,,2.6288,,,,Summer,2.3108,Yes,2.629,2.3108,0.12
192G,Green,QHI,,CHHE,,,,3.2336,,,,Summer,2.2791,Yes,3.234,2.2791,0.30
193R,Rooibos,QHI,,DRY CONTROL,,,,2.6707,,,,Summer,2.4999,Yes,2.671,2.4999,0.06
193G,Green,QHI,,DRY CONTROL,,,,3.7119,,,,Summer,3.5608,Yes,3.712,3.5608,0.04
194R,Rooibos,QHI,,DRY CONTROL,,,,2.7691,,,,Summer,2.5934,Yes,2.769,2.5934,0.06
194G,Green,QHI,,DRY CONTROL,,,,3.9184,,,,Summer,3.7644,Yes,3.918,3.7644,0.04
195R,Rooibos,QHI,,?,,,,2.6253,,,,Summer,,Yes,2.625,,
195G,Green,QHI,,?,,,,3.3012,,,,Summer,,Yes,3.301,,
196R,Rooibos,QHI,,?,,,,2.6305,,,,Summer,,Yes,2.631,,
196G,Green,QHI,,?,,,,2.9852,,,,Summer,,Yes,2.985,,
